회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인/,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
레고켐바이오,141080,2013-05-10,신규상장,주권,의약품 제조업,대한민국,한국투자증권(주),500,"15,500","21,700,000",신약후보물질 발굴을 통한 License-Out,"5,771,250"
삼목강업,158380,2013-04-30,신규상장,주권,자동차 신품 부품 제조업,대한민국,교보증권(주),"1,000","2,600","8,320,000",자동차 서스펜션용 스프링,"10,200,000"
한국패러랠,168490,2013-04-19,신규상장,투자회사,신탁업 및 집합투자업,대한민국,,무액면,"5,000","400,100,000",,"80,020,000"
세호로보트,158310,2013-04-03,신규상장,주권,특수 목적용 기계 제조업,대한민국,IBK투자증권(주),500,"7,800","8,580,000","Guide Hole Puncher, Vision Press 등 PCB제조장비","4,221,000"
윈팩,097800,2013-03-07,신규상장,주권,반도체 제조업,대한민국,키움증권(주),500,"4,000","10,109,624",반도체 패키징 및 테스트,"14,200,000"
코렌텍,104540,2013-03-05,신규상장,주권,의료용 기기 제조업,대한민국,한국투자증권(주),500,"16,000","19,200,000","인공고관절, 인공슬관절, 척추고정체 등","7,883,661"
제로투세븐,159580,2013-02-19,신규상장,주권,생활용품 도매업,대한민국,KB증권(주),500,"8,300","24,900,000",유아동복 및 용품,"11,540,000"
지디,155960,2013-02-13,신규상장,주권,전자부품 제조업,대한민국,미래에셋증권(주),500,"18,000","43,200,000",Display panel 식각 서비스,"11,934,061"
아이원스,114810,2013-02-07,신규상장,주권,특수 목적용 기계 제조업,대한민국,엔에이치투자증권주식회사,500,"4,500","9,884,160","반도체 장비 부품 제조 및 세정, LCD 장비 부품 제조","8,500,000"
우리이앤엘,153490,2013-02-05,신규상장,주권,반도체 제조업,대한민국,KB증권(주),500,"4,900","44,100,000",LED 패키지,"32,000,000"
아이센스,099190,2013-01-30,신규상장,주권,의료용 기기 제조업,대한민국,엔에이치투자증권주식회사,500,"19,000","17,100,000","혈당측정기, 혈액분석기 등","8,969,634"
포티스,141020,2013-01-29,신규상장,주권,통신 및 방송 장비 제조업,대한민국,하나증권주식회사,500,"3,900","4,853,550",셋톱박스,"4,977,833"
CS엘쏠라,159910,2012-12-27,신규상장,주권,기초 화학물질 제조업,대한민국,키움증권(주),500,"10,000","12,000,000","OLED발광소재, OLED승화정제장비","8,074,763"
SBI액시즈,950110,2012-12-17,신규상장,주식예탁증권,소프트웨어 개발 및 공급업,일본,하나증권주식회사,무액면,"3,600","19,229,040",전자결제대행서비스(PG서비스),"21,365,400"
우리로광통신,046970,2012-11-27,신규상장,주권,반도체 제조업,대한민국,미래에셋증권(주),500,"10,300","21,504,103","광분배기(웨이퍼, 칩, 모듈), 광다이오드","6,742,878"
디젠스,113810,2012-11-22,신규상장,주권,자동차 신품 부품 제조업,대한민국,엔에이치투자증권주식회사,500,"1,800","9,000,000",자동차부품(머플러) 제조,"18,250,000"
지엠비코리아,013870,2012-11-20,신규상장,주권,자동차 신품 부품 제조업,대한민국,신한투자증권 주식회사,500,"6,000","34,313,160","VS, TIB, CVJoint 등","19,072,280"
맥스로텍,141070,2012-11-16,신규상장,주권,특수 목적용 기계 제조업,대한민국,미래에셋증권(주),500,"7,000","7,000,000",갠트리로봇 공장자동화시스템,"5,714,280"
와이엠씨,155650,2012-11-15,신규상장,주권,전자부품 제조업,대한민국,엔에이치투자증권주식회사,500,"6,000","11,677,914","FPD패널용 Target, Backing Plate","9,731,593"
씨제이헬로비전,037560,2012-11-09,신규상장,주권,텔레비전 방송업,대한민국,"미래에셋증권 주식회사,하이투자증권(주),제이피모간증권회사 서울지점","2,500","16,000","293,210,336","케이블TV, 인터넷서비스 등","69,262,895"
아바텍,149950,2012-11-06,신규상장,주권,전자부품 제조업,대한민국,한국투자증권(주),500,"6,300","18,585,000","Glass Slimming & ITO코팅 제품, PDP필터","16,000,000"
코이즈,121850,2012-09-27,신규상장,주권,플라스틱제품 제조업,대한민국,한국투자증권(주),500,"7,500","8,850,000","보호필름, 도광판, 백코팅","6,156,166"
모다정보통신,149940,2012-09-25,신규상장,주권,통신 및 방송 장비 제조업,대한민국,키움증권(주),500,"7,000","4,900,000",무선 데이터 통신 단말기,"4,908,000"
하이골드8호,159650,2012-09-17,신규상장,선박투자회사,,대한민국,,"5,000","5,087","75,825,443",,"14,905,929"
나노스,151910,2012-08-02,신규상장,주권,사진장비 및 광학기기 제조업,대한민국,한화투자증권(주),500,"7,000","10,500,000",IR Filter,"7,316,920"
AJ렌터카,068400,2012-07-27,신규상장,주권,,대한민국,한국투자증권(주),500,"7,000","38,850,000",승용자동차 임대,"22,146,300"
우양에이치씨,101970,2012-07-26,신규상장,주권,"구조용 금속제품, 탱크 및 증기발생기 제조업",대한민국,한화투자증권(주),500,"5,500","13,915,000","열교환기, 압력용기, 타워 등","12,090,183"
엠씨넥스,097520,2012-07-25,신규상장,주권,영상 및 음향기기 제조업,대한민국,한국투자증권(주),500,"15,000","12,000,000",휴대폰용자동차용 카메라모듈,"5,749,271"
네이블커뮤니케이션즈,153460,2012-07-19,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,한국투자증권(주),500,"9,000","5,400,000","유무선융합 인프라, 클라이언트 및 All-IP 통신보안","4,326,601"
디지탈옵틱,106520,2012-07-13,신규상장,주권,사진장비 및 광학기기 제조업,대한민국,신한투자증권 주식회사,500,"11,500","15,807,900","렌즈(휴대폰카메라,차량용),초소형프로젝터렌즈 제조","5,393,177"
피엔티,137400,2012-07-06,신규상장,주권,특수 목적용 기계 제조업,대한민국,하나증권주식회사,500,"17,000","13,712,846",2차전지 및 전자소재용 Roll-to-Roll 장비,"3,209,547"
사조씨푸드,014710,2012-06-29,신규상장,주권,수산물 가공 및 저장 처리업,대한민국,미래에셋증권(주),"5,000","10,600","63,880,794",횟감용 참치 및 기타 일반수산물,"17,218,543"
바다로19호,155900,2012-06-29,신규상장,선박투자회사,,대한민국,,"5,000","5,190","78,888,000",,"15,200,004"
케이비부국위탁리츠,149130,2012-06-12,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,,"5,000","5,000","5,000,000",,"3,200,000"
비아트론,141000,2012-05-04,신규상장,주권,특수 목적용 기계 제조업,대한민국,한국투자증권(주),500,"15,900","18,285,000",AMOLED 등 제조장비,"9,931,870"
하이골드3호,153360,2012-05-04,신규상장,선박투자회사,,대한민국,,"5,000","5,062","81,749,225",,"16,149,790"
SBI모기지,950100,2012-04-30,신규상장,주식예탁증권,기타 금융업,일본,하나증권주식회사,0,"7,000","49,861,000",고정금리 주택담보 대출,"23,741,000"
코오롱머티리얼,144620,2012-04-05,신규상장,주권,화학섬유 제조업,대한민국,엔에이치투자증권주식회사,"5,000","14,500","43,500,000","합성섬유 제조/직물 도매,무역","9,000,000"
빛샘전자,072950,2012-03-21,신규상장,주권,전자부품 제조업,대한민국,미래에셋증권(주),500,"4,400","3,432,000","전광판용 LED 모듈, LED 전광판, 광접속함체","5,000,000"
한국ANKOR유전,152550,2012-03-08,신규상장,투자회사,신탁업 및 집합투자업,대한민국,,0,"5,000","350,000,000",,"70,020,000"
휴비스,079980,2012-02-23,신규상장,주권,화학섬유 제조업,대한민국,미래에셋증권 주식회사,"5,000","12,200","200,141,000","합성섬유(폴리에스테르원사,원면),재생섬유,폴리에스텔 원사,원면,고상칩 제조,도소매","34,500,000"
사람인에이치알,143240,2012-02-21,신규상장,주권,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",대한민국,KB증권(주),500,"5,000","12,150,350","온라인 채용광고(취업포털), 인재파견, 취업지원 등","8,800,000"
뉴로스,126870,2012-02-15,신규상장,주권,일반 목적용 기계 제조업,대한민국,교보증권(주),500,"8,500","4,250,000",터보블로워,"4,191,242"
남화토건,091590,2012-01-31,신규상장,주권,건물 건설업,대한민국,현대차증권주식회사,500,"3,000","9,000,000","건축공사, 토목공사","11,740,000"
케이탑리츠,145270,2012-01-31,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,,"5,000","5,500","16,500,000",,"5,421,000"
동아팜텍,140410,2012-01-20,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,엔에이치투자증권주식회사,500,"24,000","54,408,000","발기부전증치료제, 전립선비대증치료제","8,068,000"
원익머트리얼즈,104830,2011-12-28,신규상장,주권,기초 화학물질 제조업,대한민국,유안타증권(주),500,"27,000","45,029,277","저메인가스, 산화질소, 암모니아 등","5,800,000"
디엔에이링크,127120,2011-12-26,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,미래에셋증권(주),500,"7,700","5,069,819","유전체분석(EGIS), 개인유전체분석(DNAGPS)","4,115,930"
GS리테일,007070,2011-12-23,신규상장,주권,종합 소매업,대한민국,"한국투자증권(주),엔에이치투자증권주식회사","1,000","19,500","300,300,000","체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대","77,000,000"
나이스디앤비,130580,2011-12-22,신규상장,주권,기타 사업지원 서비스업,대한민국,대신증권(주),500,"1,700","6,664,000",기업신용조사 보고서,"15,400,000"
시큐브,131090,2011-12-21,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,SK증권(주),500,"4,900","4,458,226","시스템보안관리솔루션, 정보유출방지솔루션","6,200,000"
서암기계공업,100660,2011-12-19,신규상장,주권,일반 목적용 기계 제조업,대한민국,한국투자증권(주),500,"3,800","11,970,000","공작기계부품(정밀기어,척),산업기계 제조,도매/부동산 임대","12,600,000"
인터지스,129260,2011-12-16,신규상장,주권,도로 화물 운송업,대한민국,삼성증권(주),"1,000","10,000","58,350,000","화물운송,알선,하역","13,138,560"
씨유메디칼,115480,2011-12-15,신규상장,주권,의료용 기기 제조업,대한민국,KB증권(주),500,"12,000","9,600,000",심장제세동기,"4,780,806"
사파이어테크놀로지,123260,2011-12-05,신규상장,주권,반도체 제조업,대한민국,한국투자증권(주),500,"65,000","52,650,000",사파이어 잉곳,"5,995,369"
넥스트리밍,139670,2011-12-02,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,신한투자증권 주식회사,500,"6,000","3,975,600","NexMFW, NexPlayer EMB","6,625,551"
티브이로직,121800,2011-12-01,신규상장,주권,통신 및 방송 장비 제조업,대한민국,한국투자증권(주),500,"12,000","12,600,000",방송용 LCD모니터,"5,250,000"
에스에프씨,112240,2011-11-30,신규상장,주권,플라스틱제품 제조업,대한민국,엔에이치투자증권주식회사,500,"14,000","22,860,600","태양광 모듈용 백시트, 라미네이팅 필름","6,432,621"
신진에스엠,138070,2011-11-28,신규상장,주권,기타 금속 가공제품 제조업,대한민국,한화투자증권(주),500,"15,000","13,500,000",표준 플레이트,"4,500,000"
이엠넷,123570,2011-11-25,신규상장,주권,광고업,대한민국,케이비투자증권(주),500,"6,400","9,600,000",온라인 검색광고 대행,"5,500,000"
와이지엔터테인먼트,122870,2011-11-23,신규상장,주권,오디오물 출판 및 원판 녹음업,대한민국,미래에셋증권 주식회사,500,"34,000","42,382,326","음악 및 기타 오디오물 출판, 신인 아티스트 육성 및 매니지먼트","4,986,157"
쎄미시스코,136510,2011-11-18,신규상장,주권,특수 목적용 기계 제조업,대한민국,하이투자증권(주),500,"9,500","9,137,100","EGIS(유리기판 검사장비), Smart-EPD 및 Smart-HMS(플라즈마 검사장비)","3,600,000"
아이테스트,089530,2011-11-11,신규상장,주권,"그외 기타 전문, 과학 및 기술 서비스업",대한민국,미래에셋증권(주),500,"2,400","24,000,000",반도체 테스트,"46,330,294"
테크윙,089030,2011-11-10,신규상장,주권,특수 목적용 기계 제조업,대한민국,한국투자증권(주),500,"23,000","14,950,000","반도체테스트핸들러,C.O.K(Change Over Kit)","4,771,040"
신흥기계,007820,2011-11-08,신규상장,주권,일반 목적용 기계 제조업,대한민국,한국투자증권(주),500,"8,500","13,396,000","자동화물류서비스, 자동화공정설비","6,643,000"
씨큐브,101240,2011-11-08,신규상장,주권,기초 화학물질 제조업,대한민국,대신증권(주),500,"5,750","5,510,731",진주광택안료,"5,500,000"
씨엔플러스,115530,2011-11-02,신규상장,주권,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",대한민국,한국투자증권(주),500,"11,500","9,200,000",커넥터,"4,150,001"
테라세미콘,123100,2011-11-01,신규상장,주권,특수 목적용 기계 제조업,대한민국,"삼성증권(주),케이프투자증권주식회사",500,"13,500","16,200,000",반도체 및 AMOLED 제조용 열처리장비,"8,045,902"
케이맥,043290,2011-10-25,신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대한민국,KB증권(주),500,"14,500","17,400,000","FPD, 반도체 공정용 검사장비 및 바이오/의료진단기기, Lab용 분석기기","6,188,500"
로보스타,090360,2011-10-17,신규상장,주권,특수 목적용 기계 제조업,대한민국,미래에셋증권(주),500,"5,800","6,805,888","제조용 로봇, FPD 장비, IT부품 제조장비","7,800,000"
넥솔론,110570,2011-10-14,신규상장,주권,반도체 제조업,대한민국,엔에이치투자증권주식회사,"5,000","4,000","85,490,200",태양광발전용 웨이퍼,"79,065,200"
대한과학,131220,2011-10-11,신규상장,주권,기계장비 및 관련 물품 도매업,대한민국,미래에셋증권 주식회사,500,"3,000","4,200,000","의료, 정밀 및 연구실험기기 제조 및 유통","5,525,130"
트러스제7호,140890,2011-09-30,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,,"5,000","5,000","16,500,000",,"9,686,000"
피앤이솔루션,131390,2011-09-27,신규상장,주권,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",대한민국,교보증권(주),500,"8,000","12,000,000","2차전지 공정용 장비, 산업용 정류기","6,176,000"
화진,134780,2011-08-10,신규상장,주권,자동차 신품 부품 제조업,대한민국,현대차증권주식회사,500,"4,300","12,304,880","우드그레인, IPE","12,100,000"
제이씨케미칼,137950,2011-08-08,신규상장,주권,기타 화학제품 제조업,대한민국,삼성증권(주),500,"7,200","24,048,000","바이오디젤, 글리세린 등","13,340,000"
아이씨디,040910,2011-08-05,신규상장,주권,특수 목적용 기계 제조업,대한민국,유안타증권(주),500,"34,000","52,700,000","건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입","7,721,832"
제닉,123330,2011-08-03,신규상장,주권,기타 화학제품 제조업,대한민국,교보증권(주),500,"22,000","19,800,000","하이드로겔 마스크 팩, 기타화장품","3,922,909"
경봉,139050,2011-07-29,신규상장,주권,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",대한민국,유안타증권(주),500,"7,100","9,478,500","용역서비스(ITS,BIS,ATMS,BRT)","5,100,040"
삼원강재,023000,2011-07-22,신규상장,주권,자동차 신품 부품 제조업,대한민국,미래에셋증권 주식회사,500,"4,000","40,000,000","열간압연제품(평강,봉강,특수이형강,환강,자동차용 겹판스프링) 제조,판매","40,000,000"
상아프론테크,089980,2011-07-21,신규상장,주권,플라스틱제품 제조업,대한민국,한국투자증권(주),500,"6,000","15,000,000","LCD 부품, 사무기기 부품, PCB 부품, 2차전지 부품","12,289,470"
신세계인터내셔날,031430,2011-07-14,신규상장,주권,"섬유, 의복, 신발 및 가죽제품 소매업",대한민국,한국투자증권(주),"5,000","65,000","130,000,000","섬유, 의복, 신발 및 가죽제품 소매","7,140,000"
광희리츠,140910,2011-07-14,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,,"5,000","5,500","3,600,025",,"2,134,550"
나이벡,138610,2011-07-13,신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,대한민국,대신증권(주),500,"10,000","7,340,000","치아미백제,치과용 골이식재","2,935,996"
옵티시스,109080,2011-07-12,신규상장,주권,통신 및 방송 장비 제조업,대한민국,키움증권(주),500,"7,600","5,320,000",광링크 모듈 등,"5,636,000"
대양전기공업,108380,2011-07-08,신규상장,주권,선박 및 보트 건조업,대한민국,삼성증권(주),500,"9,000","25,650,000","해상용 조명등기구, (함정용)전자시스템, 배전반류 등","9,495,300"
한국항공우주,047810,2011-06-30,신규상장,주권,"항공기,우주선 및 부품 제조업",대한민국,"엔에이치투자증권주식회사,KB증권(주)","5,000","15,500","567,515,187","정부방산 및 완제기 수출(T-50계열, KUH계열, KT-1계열 등), 기체부품","97,475,107"
하이마트,071840,2011-06-29,신규상장,주권,가전제품 및 정보통신장비 소매업,대한민국,미래에셋증권 주식회사,"5,000","59,000","419,747,830","가전제품,잡화 도소매/부동산 임대","23,607,712"
탑금속,019770,2011-06-24,신규상장,주권,특수 목적용 기계 제조업,대한민국,KB증권(주),500,"6,500","21,450,000",자동차금형.건설중장비 부품,"11,650,000"
엠케이트렌드,069640,2011-06-21,신규상장,주권,봉제의복 제조업,대한민국,엔에이치투자증권주식회사,500,"11,000","26,400,000","케주얼웨어(BUCKAROO, TBJ 등)","8,000,000"
쓰리피시스템,110500,2011-06-17,신규상장,주권,특수 목적용 기계 제조업,대한민국,부국증권(주),500,"5,800","9,912,954","LCD자동화설비, 친환경자동차용 부품(배터리,인버터) 자동화설비","6,800,000"
코오롱플라스틱,138490,2011-06-15,신규상장,주권,"비료, 농약 및 살균, 살충제 제조업",대한민국,미래에셋증권 주식회사,"1,000","4,300","37,410,000",엔지니어링플라스틱,"29,000,000"
리켐,131100,2011-06-14,신규상장,주권,기초 화학물질 제조업,대한민국,SK증권(주),500,"14,000","16,399,600","이차전지 전해액 소재, LCD 공정용 에천트 소재","4,270,000"
넥스트아이,137940,2011-06-14,신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대한민국,한국투자증권(주),500,"10,000","10,000,000","LCD 편광필름 검사장비, BLU 검사장비 등","5,810,945"
완리,900180,2011-06-13,신규상장,외국주권,회사 본부 및 경영 컨설팅 서비스업,홍콩,삼성증권(주),1,"4,100","50,020,000",외벽타일,"48,696,351"
DGB금융지주,139130,2011-06-07,신규상장,주권,기타 금융업,대한민국,한국투자증권(주),"5,000",0,0,지주회사,"134,053,154"
케이티스카이라이프,053210,2011-06-03,신규상장,주권,텔레비전 방송업,대한민국,미래에셋증권 주식회사,"2,500","17,000","42,500,000",위성방송서비스,"47,666,614"
엘티에스,138690,2011-06-02,신규상장,주권,특수 목적용 기계 제조업,대한민국,엔에이치투자증권주식회사,500,"34,000","24,598,286","LGP Engraving M/C, Cell Sealing M/C","3,600,000"
세아특수강　　　　,019440,2011-06-01,신규상장,주권,1차 철강 제조업,대한민국,하나증권주식회사,"5,000","28,000","72,318,960","냉간압조용선재,마봉강,스테인레스봉강 제조","8,570,000"
KMH,122450,2011-05-25,신규상장,주권,텔레비전 방송업,대한민국,IBK투자증권(주),500,"9,500","29,391,480",방송채널사업 및 방송송출서비스,"12,375,360"
골프존,121440,2011-05-20,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,한국투자증권(주),500,"85,000","170,000,000",골프시뮬레이터,"12,283,023"
한국종합기술,023350,2011-04-28,신규상장,주권,"건축기술, 엔지니어링 및 관련 기술 서비스업",대한민국,"메리츠증권(주),엔에이치투자증권주식회사",500,"7,100","22,323,252","토목설계,건축설계,감리,측량/토목건축공사","10,950,000"
이퓨쳐,134060,2011-04-27,신규상장,주권,"서적, 잡지 및 기타 인쇄물 출판업",대한민국,삼성증권(주),500,"6,400","5,760,000",Smart Phonics 등(외국어 어학교재),"3,635,000"
티케이케미칼,104480,2011-04-26,신규상장,주권,화학섬유 제조업,대한민국,엔에이치투자증권주식회사,500,"5,000","198,000,000","수지, 폴리에스터, 스판덱스","90,000,000"
하이골드2호,139200,2011-04-15,신규상장,선박투자회사,,대한민국,,"5,000","5,090","67,900,111",,"13,339,907"
BS금융지주,138930,2011-03-30,신규상장,주권,기타 금융업,대한민국,유안타증권(주),"5,000",0,0,금융지주회사,"193,379,899"
이코리아리츠,138440,2011-03-10,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,,"5,000","5,000","4,000,000",,"1,600,000"
일진머티리얼즈,020150,2011-03-04,신규상장,주권,전자부품 제조업,대한민국,미래에셋증권(주),500,"15,800","185,829,520","인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매","39,200,000"
부스타,008470,2011-02-23,신규상장,주권,"구조용 금속제품, 탱크 및 증기발생기 제조업",대한민국,현대차증권주식회사,500,"4,200","8,568,000","관류보일러,진공온수보일러,무압온수보일러,난방기 제조,판매","8,160,000"
현대위아,011210,2011-02-21,신규상장,주권,자동차 신품 부품 제조업,대한민국,미래에셋증권(주),"5,000","65,000","520,000,000","자동차부품, 공작기계 등","25,730,119"
나노신소재,121600,2011-02-09,신규상장,주권,기타 화학제품 제조업,대한민국,한국투자증권(주),500,"17,000","30,243,000","인듐계 산화물 TCO Target, 반도체 CMP Slurry 등","7,116,000"
케이아이엔엑스,093320,2011-02-08,신규상장,주권,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",대한민국,하나증권주식회사,500,"8,000","5,760,000",인터넷연동서비스 등,"4,800,000"
티피씨글로벌,130740,2011-02-08,신규상장,주권,자동차 신품 부품 제조업,대한민국,신영증권(주),500,"5,200","6,760,000","정밀인발강관, 정밀강관, Water pipe, Filler Neck 등","5,610,345"
엘비세미콘,061970,2011-01-31,신규상장,주권,반도체 제조업,대한민국,한국투자증권(주),500,"4,700","37,600,000","골드범핑, 솔더범핑 등","43,274,592"
제이엔케이히터,126880,2011-01-31,신규상장,주권,일반 목적용 기계 제조업,대한민국,엔에이치투자증권주식회사,500,"13,600","27,200,000",산업용가열로,"8,000,000"
딜리,131180,2011-01-31,신규상장,주권,컴퓨터 및 주변장치 제조업,대한민국,KB증권(주),500,"8,000","11,760,000",디지털 UV 프린터,"5,470,000"
블루콤,033560,2011-01-26,신규상장,주권,영상 및 음향기기 제조업,대한민국,엔에이치투자증권주식회사,500,"12,000","32,400,000","마이크로스피커, 블루투스헤드셋, Linear 진동모터","9,600,000"
인트론바이오,048530,2011-01-26,신규상장,주권,기초 의약물질 및 생물학적 제제 제조업,대한민국,신한투자증권 주식회사,500,"6,100","3,050,000","바이오신약, 핵산검사제, 동물용 항생제 대체재","9,163,333"
중국고섬,950070,2011-01-25,신규상장,주식예탁증권,회사 본부 및 경영 컨설팅 서비스업,싱가포르,미래에셋증권 주식회사,0,"7,000","210,000,000",폴리에스터 섬유,"30,000,000"
씨그널정보통신,099830,2011-01-24,신규상장,주권,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",대한민국,신영증권(주),500,"8,500","7,582,000","멀티미디어/방송 솔루션, 통신망구축, 무선통신 솔루션","3,400,000"
다나와,119860,2011-01-24,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,한국투자증권(주),500,"14,000","20,141,044","인터넷쇼핑몰 가격비교서비스, 온라인광고","6,600,000"
인텍플러스,064290,2011-01-05,신규상장,주권,특수 목적용 기계 제조업,대한민국,한국투자증권(주),500,"7,000","7,000,000","LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등","8,005,000"
티에스이,131290,2011-01-05,신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대한민국,한국투자증권(주),500,"45,000","36,549,000","Probe Card, Test Interface Board, LED Test Equipment","3,248,298"
케이비게임앤앱스스팩,131370,2011-01-05,신규상장,주권,금융 지원 서비스업,대한민국,케이비투자증권(주),100,"2,500","20,000,000",합병(유일한 목적사업),"8,620,001"
두산엔진,082740,2011-01-04,신규상장,주권,일반 목적용 기계 제조업,대한민국,"미래에셋증권 주식회사,유안타증권(주)","1,000","19,300","202,650,000","대형선박용엔진,내연발전엔진","69,500,000"
액트,131400,2010-12-27,신규상장,주권,전자부품 제조업,대한민국,한국투자증권(주),500,"2,700","10,800,000",연성회로기판,"15,000,000"
대구도시가스,117580,2010-12-24,신규상장,주권,연료용 가스 제조 및 배관공급업,대한민국,신한투자증권 주식회사,"1,000","5,400","40,500,000",천연가스,"27,500,000"
현대에이치씨엔,126560,2010-12-23,신규상장,주권,회사 본부 및 경영 컨설팅 서비스업,대한민국,KB증권(주),500,"3,800","83,600,000",지주회사(자회사 : 방송업),"84,727,220"
IBKS스팩1호,126680,2010-12-22,신규상장,주권,금융 지원 서비스업,대한민국,IBK투자증권(주),500,"1,000","20,000,000",기업 인수합병,"20,880,000"
대정화금,120240,2010-12-20,신규상장,주권,기초 화학물질 제조업,대한민국,현대차증권주식회사,500,"9,200","21,160,000","시약, 원료의약품","5,537,272"
케이티스,058860,2010-12-17,신규상장,주권,기타 정보 서비스업,대한민국,엔에이치투자증권주식회사,"5,000","2,700","11,625,687","114전화번호안내, 고객센터","34,802,000"
한전산업,130660,2010-12-16,신규상장,주권,기타 사업지원 서비스업,대한민국,신한투자증권 주식회사,500,"5,500","71,720,000","전기검침용역,발전설비 정비,운전","32,600,000"
동부티에스블랙펄스팩,128910,2010-12-08,신규상장,주권,금융 지원 서비스업,대한민국,DB금융투자주식회사,100,"2,000","22,500,000",기업 인수합병,"12,300,000"
하이제1호스팩,131030,2010-12-03,신규상장,주권,금융 지원 서비스업,대한민국,하이투자증권(주),500,"4,000","27,000,000",기업 인수합병,"7,250,000"
세우테크,096690,2010-12-01,신규상장,주권,컴퓨터 및 주변장치 제조업,대한민국,신한투자증권 주식회사,500,"5,500","8,250,000","POS프린터, Mobile프린터, Label프린터","5,000,000"
코라오홀딩스,900140,2010-11-30,신규상장,외국주권,회사 본부 및 경영 컨설팅 서비스업,케이맨 제도,IBK투자증권(주),0.25,"4,800","56,317,056",지주회사,"38,400,000"
대구방송,033830,2010-11-29,신규상장,주권,텔레비전 방송업,대한민국,부국증권(주),"5,000","7,500","7,500,000","텔레비젼 방송,문화서비스,광고/출판,음반 제작,도매","10,000,000"
시그네틱스,033170,2010-11-26,신규상장,주권,반도체 제조업,대한민국,"신한투자증권 주식회사,미래에셋증권(주)",500,"2,600","36,526,963",반도체 패키징,"77,288,319"
케이티롤,122800,2010-11-26,신규상장,주권,금속 주조업,대한민국,대신증권(주),500,"6,800","7,172,681",열간 압연롤,"4,200,000"
한국전자인증,041460,2010-11-19,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,한국투자증권(주),500,"1,600","2,240,000","개인용이메일 보안,인증업무,전자상거래관련 인증서비스/기업용 인증솔루션 제공","21,400,000"
디케이락,105740,2010-11-12,신규상장,주권,일반 목적용 기계 제조업,대한민국,신한투자증권 주식회사,500,"7,500","15,000,000","DK-Lok 피팅, D-Pro 밸브","6,200,000"
코프라,126600,2010-11-12,신규상장,주권,"비료, 농약 및 살균, 살충제 제조업",대한민국,미래에셋증권(주),500,"7,000","12,320,000",엔지니어링 플라스틱 칩,"5,800,000"
하나그린스팩,123420,2010-11-10,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"4,000","20,000,000",기업 인수합병,"5,232,000"
거북선7호,134000,2010-11-10,신규상장,선박투자회사,,대한민국,,"5,000","5,130","10,260,000",,"2,000,006"
삼본정밀전자,111870,2010-11-05,신규상장,주권,영상 및 음향기기 제조업,대한민국,KB증권(주),500,"8,800","17,600,000","이어폰,헤드폰,키패드","9,500,000"
아나패스,123860,2010-11-05,신규상장,주권,반도체 제조업,대한민국,"미래에셋증권 주식회사,IBK투자증권(주)",500,"52,000","24,440,000",Timing Controller(TCON),"3,366,190"
케이엔엔,058400,2010-11-03,신규상장,주권,텔레비전 방송업,대한민국,미래에셋증권(주),"5,000","9,000","11,970,000",방송프로그램 제작 및 송출,"13,242,972"
부국퓨쳐스타즈스팩,123300,2010-10-29,신규상장,주권,금융 지원 서비스업,대한민국,부국증권(주),500,"2,000","11,800,000",기업인수합병,"6,670,000"
누리플랜,069140,2010-10-26,신규상장,주권,"구조용 금속제품, 탱크 및 증기발생기 제조업",대한민국,현대차증권주식회사,500,"5,500","6,050,000","경관조명, 경관시설","4,310,000"
