회사명,주관사,상장일,공모가,(수정)공모가,상장일,,,,1개월,,3개월,,6개월,,1년,,최근거래일 (2023-04-28),
트윔,대신증권㈜,2021-11-17,"22,000","22,000","44,000",100,"41,100",86.8,"30,000",36.4,"20,200",-8.2,"17,350",-21.1,"13,800",-37.3,"14,030",-36.2
아이티아이즈,신한투자증권 주식회사,2021-11-11,"14,300","14,300","28,600",100,"20,050",40.2,"27,650",93.4,"17,500",22.4,"13,400",-6.3,"8,700",-39.2,"9,140",-36.1
지오엘리먼트,엔에이치투자증권주식회사,2021-11-11,"10,000","5,011","10,022",100,"7,968",59,"22,675",352.5,"12,277",145,"11,024",120,"12,202",143.5,"9,500",89.6
디어유,한국투자증권㈜,2021-11-10,"26,000","26,000","52,000",100,"66,500",155.8,"70,800",172.3,"54,300",108.8,"45,150",73.7,"25,900",-0.4,"41,100",58.1
비트나인,하나증권주식회사,2021-11-10,"11,000","11,000","15,250",38.6,"11,400",3.6,"13,700",24.5,"16,700",51.8,"14,500",31.8,"6,730",-38.8,"8,370",-23.9
지니너스,대신증권㈜,2021-11-08,"20,000","6,672","6,005",-10,"4,470",-33,"4,220",-36.7,"3,636",-45.5,"3,670",-45,"2,430",-63.6,"2,240",-66.4
카카오페이,"삼성증권㈜,골드만삭스증권 서울지점,제이피모간증권회사 서울지점",2021-11-03,"90,000","90,000","180,000",100,"193,000",114.4,"218,000",142.2,"137,000",52.2,"113,500",26.1,"35,800",-60.2,"54,500",-39.4
피코그램,IBK투자증권㈜,2021-11-03,"12,500","2,138","4,276",100,"3,181",48.8,"2,335",9.2,"2,839",32.8,"3,173",48.4,"7,140",234,"8,480",296.7
엔켐,"신한투자증권 주식회사,대신증권㈜",2021-11-01,"42,000","42,000","81,600",94.3,"80,000",90.5,"105,900",152.1,"103,000",145.2,"87,000",107.1,"72,100",71.7,"69,800",66.2
리파인,KB증권㈜,2021-10-29,"21,000","21,000","18,900",-10,"14,300",-31.9,"16,600",-21,"13,100",-37.6,"13,800",-34.3,"7,930",-62.2,"8,830",-58
지앤비에스엔지니어링,삼성증권㈜,2021-10-29,"17,400","17,400","24,000",37.9,"19,200",10.3,"13,350",-23.3,"17,700",1.7,"16,550",-4.9,"11,850",-31.9,"18,830",8.2
아이패밀리에스씨,삼성증권㈜,2021-10-28,"25,000","12,500","14,325",14.6,"12,700",1.6,"9,875",-21,"8,725",-30.2,"16,700",33.6,"9,540",-23.7,"20,150",61.2
차백신연구소,삼성증권㈜,2021-10-22,"11,000","11,000","11,700",6.4,"13,000",18.2,"10,150",-7.7,"11,000",0,"7,580",-31.1,"4,775",-56.6,"5,320",-51.6
지아이텍,미래에셋증권 주식회사,2021-10-21,"14,000","2,800","5,600",100,"7,280",160,"5,110",82.5,"5,230",86.8,"3,680",31.4,"3,240",15.7,"4,625",65.2
케이카,"엔에이치투자증권주식회사,골드만삭스증권 서울지점",2021-10-13,"25,000","25,000","22,500",-10,"23,000",-8,"25,050",0.2,"30,700",22.8,"33,300",33.2,"15,050",-39.8,"14,310",-42.8
씨유테크,대신증권㈜,2021-10-08,"6,000","6,000","12,000",100,"8,400",40,"6,880",14.7,"7,280",21.3,"7,890",31.5,"4,280",-28.7,"4,295",-28.4
아스플로,미래에셋증권 주식회사,2021-10-07,"25,000","8,337","12,005",44,"9,454",13.4,"8,187",-1.8,"7,937",-4.8,"7,286",-12.6,"7,350",-11.8,"12,900",54.7
원준,엔에이치투자증권주식회사,2021-10-07,"65,000","21,685","34,029",56.9,"29,024",33.8,"32,594",50.3,"33,595",54.9,"34,863",60.8,"23,100",6.5,"24,800",14.4
하나금융19호스팩,하나증권주식회사,2021-10-07,"2,000","2,353","2,406",2.3,"2,406",2.3,"2,482",5.5,"2,635",12,"2,512",6.8,"2,850",21.1,"2,835",20.5
엔에이치스팩20호,엔에이치투자증권주식회사,2021-10-05,"2,000","2,000","2,030",1.5,"2,050",2.5,"2,085",4.3,"2,065",3.3,"2,090",4.5,"2,090",4.5,"1,990",-0.5
실리콘투,"미래에셋증권 주식회사,삼성증권㈜",2021-09-29,"27,200","4,533","6,417",41.6,"4,833",6.6,"3,392",-25.2,"3,233",-28.7,"2,967",-34.5,"2,215",-51.1,"3,150",-30.5
에스앤디,유진투자증권㈜,2021-09-29,"28,000","28,000","25,200",-10,"21,700",-22.5,"18,500",-33.9,"19,300",-31.1,"18,100",-35.4,"19,000",-32.1,"17,000",-39.3
프롬바이오,엔에이치투자증권주식회사,2021-09-28,"18,000","18,000","19,250",6.9,"19,850",10.3,"14,300",-20.6,"10,400",-42.2,"9,170",-49.1,"7,140",-60.3,"7,300",-59.4
바이오플러스,키움증권㈜,2021-09-27,"31,500","7,883","9,885",25.4,"8,121",3,"6,294",-20.2,"6,569",-16.7,"6,744",-14.5,"8,459",7.3,"6,370",-19.2
신한제8호스팩,신한투자증권 주식회사,2021-09-27,"2,000","2,000","2,100",5,"2,080",4,"2,105",5.3,"2,090",4.5,"2,120",6,"2,190",9.5,"2,145",7.3
대신밸런스제10호스팩,대신증권㈜,2021-09-17,"2,000","1,834","2,114",15.3,"2,036",11,"1,958",6.7,"2,040",11.2,"1,972",7.5,"2,145",16.9,"5,070",176.4
현대중공업,"한국투자증권㈜,CS증권 서울지점,미래에셋증권 주식회사",2021-09-17,"60,000","60,000","111,000",85,"111,500",85.8,"100,500",67.5,"95,700",59.5,"108,500",80.8,"127,000",111.7,"109,600",82.7
유진스팩7호,유진투자증권㈜,2021-09-13,"2,000","2,000","4,000",100,"2,800",40,"2,225",11.3,"2,160",8,"2,115",5.8,"2,140",7,"2,190",9.5
와이엠텍,KB증권㈜,2021-09-10,"28,000","14,019","28,038",100,"29,540",110.7,"18,250",30.2,"18,149",29.5,"16,072",14.6,"20,800",48.4,"22,800",62.6
에이비온,"미래에셋증권 주식회사,한화투자증권㈜",2021-09-08,"17,000","17,000","16,800",-1.2,"15,700",-7.6,"16,900",-0.6,"11,400",-32.9,"9,890",-41.8,"9,770",-42.5,"8,700",-48.8
일진하이솔루스,"미래에셋증권 주식회사,삼성증권㈜",2021-09-01,"34,300","34,300","68,600",100,"89,100",159.8,"68,900",100.9,"58,100",69.4,"40,850",19.1,"33,450",-2.5,"29,650",-13.6
바이젠셀,"대신증권㈜,KB증권㈜",2021-08-25,"52,700","26,405","36,826",39.5,"29,812",12.9,"21,469",-18.7,"17,461",-33.9,"12,376",-53.1,"9,780",-63,"6,790",-74.3
아주스틸,미래에셋증권 주식회사,2021-08-20,"15,100","15,100","30,200",100,"33,500",121.9,"23,050",52.6,"18,150",20.2,"15,800",4.6,"11,400",-24.5,"9,370",-37.9
롯데렌탈,"한국투자증권㈜,엔에이치투자증권주식회사",2021-08-19,"59,000","59,000","57,500",-2.5,"55,500",-5.9,"46,250",-21.6,"39,200",-33.6,"32,350",-45.2,"38,700",-34.4,"26,000",-55.9
브레인즈컴퍼니,키움증권㈜,2021-08-19,"25,000","12,598","25,197",100,"32,756",160,"17,789",41.2,"15,521",23.2,"12,246",-2.8,"9,060",-28.1,"8,800",-30.2
딥노이드,KB증권㈜,2021-08-17,"42,000","21,000","36,000",71.4,"25,200",20,"20,125",-4.2,"19,775",-5.8,"13,800",-34.3,"9,040",-57,"8,140",-61.2
한컴라이프케어,미래에셋증권 주식회사,2021-08-17,"13,700","13,700","16,050",17.2,"12,800",-6.6,"10,000",-27,"7,690",-43.9,"7,030",-48.7,"5,620",-59,"5,100",-62.8
엠로,한국투자증권㈜,2021-08-13,"22,600","11,300","16,350",44.7,"14,150",25.2,"17,500",54.9,"18,700",65.5,"16,700",47.8,"16,550",46.5,"60,500",435.4
플래티어,KB증권㈜,2021-08-12,"11,000","11,000","22,000",100,"28,600",160,"26,700",142.7,"17,900",62.7,"17,200",56.4,"12,900",17.3,"11,750",6.8
원티드랩,한국투자증권㈜,2021-08-11,"35,000","17,500","35,000",100,"45,500",160,"39,400",125.1,"39,900",128,"30,750",75.7,"25,600",46.3,"13,570",-22.5
크래프톤,미래에셋증권 주식회사,2021-08-10,"498,000","498,000","448,500",-9.9,"454,000",-8.8,"464,500",-6.7,"465,500",-6.5,"305,000",-38.8,"243,000",-51.2,"192,100",-61.4
HK이노엔,"한국투자증권㈜,제이피모간증권회사 서울지점,삼성증권㈜",2021-08-09,"59,000","59,000","68,100",15.4,"68,500",16.1,"64,100",8.6,"51,900",-12,"41,800",-29.2,"43,750",-25.8,"32,250",-45.3
PI첨단소재,엔에이치투자증권주식회사,2021-08-09,0,0,"53,800",0,"57,200",0,"60,700",0,"44,450",0,"42,700",0,"37,200",0,"32,650",0
카카오뱅크,"KB증권㈜,CS증권 서울지점",2021-08-06,"39,000","39,000","53,700",37.7,"69,800",79,"80,800",107.2,"57,200",46.7,"41,350",6,"30,050",-22.9,"22,000",-43.6
한화플러스제2호스팩,한화투자증권㈜,2021-08-05,"2,000","2,000","4,000",100,"5,200",160,"4,150",107.5,"2,955",47.8,"2,170",8.5,"2,205",10.3,"2,115",5.8
에브리봇,엔에이치투자증권주식회사,2021-07-28,"36,700","18,350","16,525",-9.9,"15,150",-17.4,"12,925",-29.6,"12,225",-33.4,"20,750",13.1,"14,675",-20,"15,800",-13.9
맥스트,하나증권주식회사,2021-07-27,"15,000","7,335","14,670",100,"19,070",160,"32,713",346,"33,349",354.7,"26,258",258,"18,700",155,"11,370",55
큐라클,삼성증권㈜,2021-07-22,"25,000","25,000","36,500",46,"30,650",22.6,"49,750",99,"39,000",56,"20,100",-19.6,"19,200",-23.2,"10,400",-58.4
에스디바이오센서,"한국투자증권㈜,엔에이치투자증권주식회사",2021-07-16,"52,000","52,000","57,000",9.6,"61,000",17.3,"61,200",17.7,"46,250",-11.1,"55,700",7.1,"44,200",-15,"20,800",-60
오비고,엔에이치투자증권주식회사,2021-07-13,"14,300","14,300","19,200",34.3,"20,700",44.8,"25,400",77.6,"15,700",9.8,"20,800",45.5,"10,450",-26.9,"11,390",-20.3
엠씨넥스,한국투자증권㈜,2021-07-06,0,0,"48,150",0,"48,300",0,"47,450",0,"39,250",0,"56,600",0,"32,200",0,"31,350",0
아모센스,신한투자증권 주식회사,2021-06-25,"12,400","12,400","12,250",-1.2,"15,900",28.2,"13,650",10.1,"23,700",91.1,"16,350",31.9,"14,850",19.8,"15,700",26.6
이노뎁,하이투자증권㈜,2021-06-18,"18,000",0,"22,200",0,"18,050",0,"15,750",0,"18,750",0,"25,500",0,"18,050",0,"14,090",0
라온테크,KB증권㈜,2021-06-17,"18,000","7,207","8,108",12.5,"8,208",13.9,"8,048",11.7,"12,513",73.6,"13,854",92.2,"17,500",142.8,"9,890",37.2
삼성머스트스팩5호,삼성증권㈜,2021-06-17,"2,000","2,000","4,000",100,"5,200",160,"7,050",252.5,"5,170",158.5,"3,340",67,"5,610",180.5,"3,040",52
엘비루셈,"한국투자증권㈜,KB증권㈜",2021-06-11,"14,000","14,000","18,000",28.6,"15,200",8.6,"13,950",-0.4,"14,150",1.1,"10,800",-22.9,"9,660",-31,"7,310",-47.8
에이디엠코리아,하나증권주식회사,2021-06-03,"3,800","3,800","7,600",100,"9,880",160,"6,490",70.8,"5,840",53.7,"4,420",16.3,"4,135",8.8,"1,995",-47.5
제주맥주,대신증권㈜,2021-05-26,"3,200","3,200","4,780",49.4,"4,900",53.1,"4,365",36.4,"3,400",6.3,"2,745",-14.2,"2,490",-22.2,"1,587",-50.4
진시스템,삼성증권㈜,2021-05-26,"20,000","20,000","19,100",-4.5,"17,400",-13,"14,950",-25.3,"14,650",-26.8,"11,050",-44.8,"10,250",-48.8,"16,960",-15.2
삼성스팩4호,삼성증권㈜,2021-05-21,"2,000","2,000","2,070",3.5,"2,105",5.3,"10,100",405,"6,580",229,"4,810",140.5,"4,805",140.3,"3,860",93
삼영에스앤씨,미래에셋증권 주식회사,2021-05-21,"11,000","11,000","22,000",100,"28,600",160,"13,950",26.8,"17,450",58.6,"11,900",8.2,"8,740",-20.5,"7,670",-30.3
엔에이치스팩19호,엔에이치투자증권주식회사,2021-05-21,"2,000",0,"2,075",0,"2,100",0,"2,195",0,"2,220",0,"2,095",0,"2,140",0,"1,990",0
샘씨엔에스,대신증권㈜,2021-05-20,"6,500","6,500","6,400",-1.5,"8,320",28,"6,890",6,"8,760",34.8,"6,060",-6.8,"6,280",-3.4,"4,830",-25.7
씨앤씨인터내셔널,엔에이치투자증권주식회사,2021-05-17,"47,500","31,703","31,536",-0.5,"27,465",-13.4,"30,201",-4.7,"27,999",-11.7,"22,100",-30.3,"23,200",-26.8,"39,750",25.4
에이치피오,대신증권㈜,2021-05-14,"22,200",0,"19,256",0,"16,127",0,"16,368",0,"18,197",0,"14,153",0,"12,661",0,"7,420",0
SK아이이테크놀로지,"미래에셋증권 주식회사,제이피모간증권회사 서울지점",2021-05-11,"105,000","105,000","210,000",100,"154,500",47.1,"143,000",36.2,"211,000",101,"155,000",47.6,"126,000",20,"77,300",-26.4
하이제6호스팩,하이투자증권㈜,2021-05-10,"2,000","2,000","2,060",3,"2,065",3.3,"2,650",32.5,"2,585",29.3,"2,130",6.5,"2,175",8.8,"2,125",6.3
쿠콘,"삼성증권㈜,하나증권주식회사",2021-04-28,"45,000","36,019","64,034",77.8,"52,428",45.6,"49,707",38,"52,988",47.1,"66,515",84.7,"51,200",42.1,"28,350",-21.3
이삭엔지니어링,신한투자증권 주식회사,2021-04-21,"11,500","11,500","23,000",100,"26,150",127.4,"17,000",47.8,"16,600",44.3,"12,900",12.2,"12,100",5.2,"10,890",-5.3
해성티피씨,한국투자증권㈜,2021-04-21,"13,000","6,500","13,000",100,"16,900",160,"10,400",60,"9,600",47.7,"10,400",60,"8,550",31.5,"6,580",1.2
유진스팩6호,유진투자증권㈜,2021-04-08,"2,000","2,000","2,050",2.5,"2,045",2.3,"2,290",14.5,"3,705",85.3,"2,285",14.3,"2,320",16,"2,310",15.5
유안타제8호스팩,유안타증권㈜,2021-04-05,"2,000","2,416","2,452",1.5,"2,452",1.5,"2,518",4.2,"2,554",5.7,"2,615",8.2,"2,560",6,"3,145",30.2
엔시스,미래에셋증권 주식회사,2021-04-01,"19,000","19,000","38,000",100,"31,400",65.3,"24,950",31.3,"19,650",3.4,"23,200",22.1,"19,600",3.2,"12,630",-33.5
자이언트스텝,한국투자증권㈜,2021-03-24,"11,000","5,354","10,709",100,"13,921",160,"24,192",351.8,"23,997",348.2,"38,259",614.6,"44,000",721.8,"18,200",239.9
제노코,DB금융투자주식회사,2021-03-24,"36,000","12,009","21,682",80.6,"26,719",122.5,"18,680",55.6,"15,444",28.6,"21,582",79.7,"25,900",115.7,"22,600",88.2
라이프시맨틱스,한국투자증권㈜,2021-03-23,"12,500","12,500","25,000",100,"17,500",40,"13,400",7.2,"11,900",-4.8,"11,700",-6.4,"8,290",-33.7,"4,670",-62.6
SK바이오사이언스,엔에이치투자증권주식회사,2021-03-18,"65,000","65,000","130,000",100,"169,000",160,"135,500",108.5,"157,000",141.5,"308,000",373.8,"147,000",126.2,"70,400",8.3
바이오다인,대신증권㈜,2021-03-17,"30,000","30,000","40,000",33.3,"42,600",42,"57,100",90.3,"45,000",50,"42,100",40.3,"28,900",-3.7,"36,000",20
DB금융스팩9호,DB금융투자주식회사,2021-03-16,"2,000","2,000","2,025",1.3,"2,020",1,"2,070",3.5,"2,185",9.3,"2,185",9.3,"2,105",5.3,"2,125",6.3
네오이뮨텍,"미래에셋증권 주식회사,하나증권주식회사",2021-03-16,"7,500","7,500","15,000",100,"14,350",91.3,"11,850",58,"11,200",49.3,"9,540",27.2,"7,010",-6.5,"3,180",-57.6
싸이버원,키움증권㈜,2021-03-11,"9,500",0,"18,000",0,"21,200",0,"18,200",0,"16,150",0,"13,800",0,"12,500",0,"10,450",0
프레스티지바이오로직스,"미래에셋증권 주식회사,유안타증권㈜",2021-03-11,"12,400","12,400","12,100",-2.4,"14,300",15.3,"12,900",4,"14,150",14.1,"14,650",18.1,"7,290",-41.2,"4,465",-64
나노씨엠에스,키움증권㈜,2021-03-09,"20,000","20,000","33,000",65,"23,950",19.8,"18,200",-9,"15,400",-23,"50,500",152.5,"45,100",125.5,"14,930",-25.4
하나머스트7호스팩,하나증권주식회사,2021-03-05,"2,000",0,"2,055",0,"2,050",0,"2,085",0,"3,610",0,"2,530",0,"2,145",0,"2,230",0
뷰노,"미래에셋증권 주식회사,삼성증권㈜",2021-02-26,"21,000","21,000","32,900",56.7,"32,150",53.1,"26,850",27.9,"20,350",-3.1,"24,000",14.3,"9,970",-52.5,"16,580",-21
유일에너테크,신영증권㈜,2021-02-25,"16,000","16,000","32,000",100,"34,500",115.6,"21,750",35.9,"19,500",21.9,"19,650",22.8,"20,200",26.3,"21,600",35
씨이랩,IBK투자증권㈜,2021-02-24,"35,000","17,500","23,300",33.1,"20,400",16.6,"19,650",12.3,"20,450",16.9,"69,950",299.7,"23,050",31.7,"16,140",-7.8
오로스테크놀로지,키움증권㈜,2021-02-24,"21,000","21,000","42,000",100,"54,600",160,"49,550",136,"34,700",65.2,"31,650",50.7,"24,400",16.2,"16,100",-23.3
피엔에이치테크,한국투자증권㈜,2021-02-16,"18,000","9,000","10,250",13.9,"11,925",32.5,"7,000",-22.2,"13,125",45.8,"20,000",122.2,"26,050",189.4,"22,550",150.6
아이퀘스트,미래에셋증권 주식회사,2021-02-05,"11,000","11,000","22,000",100,"20,000",81.8,"14,600",32.7,"14,350",30.5,"13,650",24.1,"10,650",-3.2,"6,890",-37.4
피비파마,삼성증권㈜,2021-02-05,"32,000","32,000","28,800",-10,"32,800",2.5,"32,700",2.2,"30,150",-5.8,"28,550",-10.8,"16,350",-48.9,"9,940",-68.9
신한제7호스팩,신한투자증권 주식회사,2021-02-04,"2,000","1,887","1,905",1,"1,915",1.5,"1,924",2,"2,004",6.2,"2,065",9.5,"2,165",14.8,"2,200",16.6
레인보우로보틱스,"대신증권㈜,미래에셋증권 주식회사",2021-02-03,"10,000","10,000","20,000",100,"26,000",160,"23,550",135.5,"24,400",144,"21,950",119.5,"23,900",139,"96,100",861
와이더플래닛,한국투자증권㈜,2021-02-03,"16,000","16,000","24,900",55.6,"20,000",25,"24,500",53.1,"22,000",37.5,"25,500",59.4,"17,150",7.2,"6,070",-62.1
솔루엠,"미래에셋증권 주식회사,KB증권㈜",2021-02-02,"17,000","17,000","34,000",100,"29,150",71.5,"23,000",35.3,"24,550",44.4,"30,450",79.1,"22,800",34.1,"24,400",43.5
핑거,대신증권㈜,2021-01-29,"16,000",0,"32,000",0,"29,100",0,"27,250",0,"21,400",0,"23,000",0,"21,000",0,"12,030",0
모비릭스,한국투자증권㈜,2021-01-28,"14,000","14,000","28,000",100,"36,400",160,"20,900",49.3,"24,150",72.5,"20,550",46.8,"20,600",47.1,"10,630",-24.1
씨앤투스성진,미래에셋증권 주식회사,2021-01-28,"32,000","10,863","10,762",-0.9,"9,743",-10.3,"6,943",-36.1,"7,333",-32.5,"6,976",-35.8,"7,040",-35.2,"4,585",-57.8
선진뷰티사이언스,"신한투자증권 주식회사,삼성증권㈜",2021-01-27,"11,500","5,764","11,527",100,"14,986",160,"11,026",91.3,"10,174",76.5,"9,573",66.1,"6,916",20,"6,410",11.2
엔비티,미래에셋증권 주식회사,2021-01-21,"19,000","9,500","19,000",100,"18,250",92.1,"11,775",23.9,"12,775",34.5,"13,375",40.8,"13,725",44.5,"5,230",-44.9
유안타제7호스팩,유안타증권㈜,2020-12-28,"2,000","2,185","2,196",0.5,"2,190",0.3,"2,229",2,"2,283",4.5,"2,316",6,"2,398",9.8,"2,340",7.1
석경에이티,한국투자증권㈜,2020-12-23,"10,000","10,000","20,000",100,"26,000",160,"31,850",218.5,"21,550",115.5,"20,200",102,"19,450",94.5,"42,150",321.5
지놈앤컴퍼니,한국투자증권㈜,2020-12-23,"40,000","40,000","80,000",100,"68,800",72,"56,900",42.3,"56,000",40,"37,350",-6.6,"34,200",-14.5,"19,900",-50.3
프리시젼바이오,한국투자증권㈜,2020-12-22,"12,500","12,500","25,000",100,"32,500",160,"26,050",108.4,"16,000",28,"16,000",28,"11,900",-4.8,"5,460",-56.3
알체라,신영증권㈜,2020-12-21,"10,000","7,870","15,741",100,"20,463",160,"26,326",234.5,"28,176",258,"25,106",219,"25,736",227,"10,970",39.4
에프앤가이드,신영증권㈜,2020-12-17,"7,000","7,000","14,000",100,"12,850",83.6,"7,860",12.3,"7,430",6.1,"10,100",44.3,"11,400",62.9,"8,250",17.9
에이치엠씨제5호스팩,현대차증권주식회사,2020-12-16,"2,000","2,000","2,000",0,"1,995",-0.3,"2,035",1.8,"2,025",1.3,"2,100",5,"2,065",3.3,"2,070",3.5
티엘비,DB금융투자주식회사,2020-12-14,"38,000","19,000","37,950",99.7,"27,250",43.4,"28,550",50.3,"21,400",12.6,"19,850",4.5,"19,325",1.7,"19,700",3.7
인바이오,한국투자증권㈜,2020-12-11,"5,800","5,800","11,600",100,"12,200",110.3,"13,450",131.9,"12,350",112.9,"10,950",88.8,"6,920",19.3,"3,890",-32.9
엔젠바이오,삼성증권㈜,2020-12-10,"14,000",0,"28,000",0,"25,650",0,"26,650",0,"15,350",0,"20,000",0,"14,700",0,"7,150",0
DB금융스팩8호,DB금융투자주식회사,2020-12-09,"2,000","2,000","1,985",-0.8,"1,985",-0.8,"2,020",1,"2,065",3.3,"2,115",5.8,"2,100",5,"2,070",3.5
퀀타매트릭스,미래에셋증권 주식회사,2020-12-09,"25,500","25,500","25,050",-1.8,"24,100",-5.5,"26,500",3.9,"15,000",-41.2,"13,400",-47.5,"10,850",-57.5,"4,910",-80.7
명신산업,"미래에셋증권 주식회사,현대차증권주식회사",2020-12-07,"6,500","6,500","13,000",100,"16,900",160,"46,300",612.3,"25,450",291.5,"25,550",293.1,"27,700",326.2,"18,020",177.2
클리노믹스,대신증권㈜,2020-12-04,"13,900",0,"18,500",0,"19,000",0,"18,200",0,"12,500",0,"15,550",0,"11,700",0,"8,240",0
포인트모바일,하나증권주식회사,2020-12-03,"15,000","7,622","15,244",100,"15,523",103.7,"28,100",268.7,"21,697",184.7,"21,550",182.7,"17,450",128.9,"18,100",137.5
앱코,미래에셋증권 주식회사,2020-12-02,"24,300","24,300","30,150",24.1,"28,900",18.9,"27,800",14.4,"26,900",10.7,"22,900",-5.8,"15,050",-38.1,"4,765",-80.4
엔에프씨,삼성증권㈜,2020-12-02,"13,400","13,400","20,700",54.5,"16,950",26.5,"13,700",2.2,"15,700",17.2,"16,300",21.6,"13,450",0.4,"8,090",-39.6
제일전기공업,하나증권주식회사,2020-11-26,"17,000","17,000","34,000",100,"28,650",68.5,"25,450",49.7,"22,800",34.1,"23,750",39.7,"19,900",17.1,"10,900",-35.9
하나기술,하나증권주식회사,2020-11-25,"35,000","18,117","36,234",100,"47,104",160,"49,278",172,"52,746",191.1,"61,300",238.4,"51,700",185.4,"69,700",284.7
에이플러스에셋,"엔에이치투자증권주식회사,IBK투자증권㈜",2020-11-20,"7,500","7,500","8,100",8,"6,880",-8.3,"5,740",-23.5,"6,550",-12.7,"8,650",15.3,"10,850",44.7,"4,640",-38.1
티앤엘,한국투자증권㈜,2020-11-20,"36,000","18,000","36,000",100,"27,000",50,"22,425",24.6,"20,450",13.6,"27,650",53.6,"41,900",132.8,"45,700",153.9
고바이오랩,"대신증권㈜,삼성증권㈜",2020-11-18,"15,000","15,000","30,000",100,"31,300",108.7,"39,300",162,"42,950",186.3,"33,650",124.3,"24,650",64.3,"13,120",-12.5
네패스아크,미래에셋증권 주식회사,2020-11-17,"26,500","26,500","36,200",36.6,"38,700",46,"42,950",62.1,"53,200",100.8,"40,200",51.7,"49,800",87.9,"23,450",-11.5
교촌에프앤비,미래에셋증권 주식회사,2020-11-12,"12,300","12,300","23,850",93.9,"31,000",152,"21,050",71.1,"18,950",54.1,"19,700",60.2,"18,050",46.7,"9,000",-26.8
소룩스,미래에셋증권 주식회사,2020-11-06,"10,000","10,000","20,000",100,"26,000",160,"24,600",146,"21,000",110,"19,100",91,"11,750",17.5,"6,980",-30.2
위드텍,하나증권주식회사,2020-10-30,"25,000","12,500","18,550",48.4,"20,550",64.4,"27,400",119.2,"27,650",121.2,"26,750",114,"19,150",53.2,"11,990",-4.1
센코,한국투자증권㈜,2020-10-29,"13,000","13,000","13,350",2.7,"15,250",17.3,"27,700",113.1,"27,450",111.2,"21,500",65.4,"21,400",64.6,"14,750",13.5
바이브컴퍼니,한국투자증권㈜,2020-10-28,"28,000","14,027","20,039",42.9,"15,680",11.8,"17,684",26.1,"17,083",21.8,"15,755",12.3,"18,385",31.1,"11,150",-20.5
미코바이오메드,KB증권㈜,2020-10-22,"15,000","15,000","16,100",7.3,"13,800",-8,"11,400",-24,"10,100",-32.7,"12,100",-19.3,"9,270",-38.2,"6,770",-54.9
피플바이오,키움증권㈜,2020-10-19,"20,000","10,053","9,047",-10,"11,762",17,"21,789",116.7,"30,661",205,"21,563",114.5,"14,900",48.2,"10,900",8.4
빅히트,"한국투자증권㈜,제이피모간증권회사 서울지점,엔에이치투자증권주식회사",2020-10-15,"135,000","133,650","267,300",100,"255,420",91.1,"162,360",21.5,"152,955",14.4,"264,330",97.8,"291,500",118.1,"270,000",102
넥스틴,KB증권㈜,2020-10-08,"75,400","25,148","23,714",-5.7,"23,881",-5,"26,449",5.2,"58,368",132.1,"78,400",211.7,"56,100",123.1,"64,500",156.5
원방테크,미래에셋증권 주식회사,2020-09-24,"54,300","18,236","16,422",-9.9,"14,676",-19.5,"14,458",-20.7,"16,960",-7,"15,264",-16.3,"20,150",10.5,"9,720",-46.7
비나텍,대신증권㈜,2020-09-23,"33,000","28,664","38,219",33.3,"35,396",23.5,"39,522",37.9,"46,905",63.6,"36,527",27.4,"45,818",59.8,"69,500",142.5
박셀바이오,하나증권주식회사,2020-09-22,"30,000","15,000","13,500",-10,"10,650",-29,"12,300",-18,"108,050",620.3,"123,200",721.3,"79,000",426.7,"40,000",166.7
비비씨,미래에셋증권 주식회사,2020-09-21,"30,700","30,700","27,650",-9.9,"22,300",-27.4,"18,850",-38.6,"18,800",-38.8,"19,250",-37.3,"17,000",-44.6,"9,090",-70.4
핌스,DB금융투자주식회사,2020-09-18,"19,000","19,000","21,000",10.5,"18,300",-3.7,"15,000",-21.1,"15,450",-18.7,"16,500",-13.2,"28,100",47.9,"13,740",-27.7
압타머사이언스,키움증권㈜,2020-09-16,"25,000","12,500","14,425",15.4,"13,875",11,"10,075",-19.4,"12,500",0,"11,450",-8.4,"12,600",0.8,"3,700",-70.4
이오플로우,하나증권주식회사,2020-09-14,"19,000","9,057","10,368",14.5,"9,534",5.3,"21,213",134.2,"28,888",218.9,"31,462",247.4,"24,502",170.5,"24,800",173.8
카카오게임즈,"한국투자증권㈜,삼성증권㈜",2020-09-10,"24,000","24,000","48,000",100,"62,400",160,"49,150",104.8,"49,150",104.8,"47,950",99.8,"82,000",241.7,"40,350",68.1
피엔케이,미래에셋증권 주식회사,2020-09-09,"18,300","4,575","7,000",53,"6,700",46.4,"5,675",24,"5,600",22.4,"5,600",22.4,"5,850",27.9,"3,170",-30.7
미래에셋대우스팩 5호,미래에셋증권 주식회사,2020-08-28,"2,000","1,985","1,985",0,"1,995",0.5,"2,174",9.5,"2,253",13.5,"2,104",6,"2,189",10.3,"2,010",1.3
아이디피,키움증권㈜,2020-08-24,"9,800","4,900","6,600",34.7,"6,250",27.6,"5,100",4.1,"4,275",-12.8,"4,155",-15.2,"4,555",-7,"4,030",-17.8
셀레믹스,대신증권㈜,2020-08-21,"20,000","20,000","24,900",24.5,"25,800",29,"24,300",21.5,"28,250",41.3,"24,350",21.8,"19,250",-3.8,"4,725",-76.4
