회사명,주요제품,공모가등락률,상장일종가,상장일등락률,1개월주가,1개월등락률,3개월주가,3개월등락률,6개월주가,6개월등락률,1년주가,1년등락률
티에프이,"COK, Board, Test Socket",-4.8,9260.0,-11.8,8310.0,-20.9,8400.0,-20.0,0.0,0.0,0.0,0.0
티쓰리,온라인 및 모바일 게임 등,0.0,2085.0,0.0,1825.0,0.0,1988.0,0.0,0.0,0.0,0.0,0.0
엔젯,"EHD 잉크젯 프린터, EHD 코터",-10.0,10850.0,8.5,10900.0,9.0,16300.0,63.0,0.0,0.0,0.0,0.0
인벤티지랩,마이크로/나노 입자 기반 약물전달 플랫폼 및 관련 제품,6.3,14950.0,24.6,10150.0,-15.4,10340.0,-13.8,0.0,0.0,0.0,0.0
SAMG엔터,애니메이션 IP 기획 및 관련 제품 제작,6.2,23450.0,37.9,31650.0,86.2,38000.0,123.5,0.0,0.0,0.0,0.0
바이오노트,"Rapid 반제품 및 완제품, 동물용신속진단 키트",10.9,10650.0,18.3,8900.0,-1.1,6680.0,-25.8,0.0,0.0,0.0,0.0
한주라이트메탈,알루미늄 기반 경량화 자동차 부품,0.0,5340.0,0.0,4350.0,0.0,6910.0,0.0,0.0,0.0,0.0,0.0
티이엠씨,반도체용 특수가스,0.0,28100.0,0.0,37250.0,0.0,42500.0,0.0,0.0,0.0,0.0,0.0
미래반도체,반도체,100.0,15600.0,160.0,18000.0,200.0,27000.0,350.0,0.0,0.0,0.0,0.0
오브젠,CRM 소프트웨어,100.0,46800.0,160.0,63400.0,252.2,0.0,0.0,0.0,0.0,0.0,0.0
삼기이브이,배터리(이차전지) 부품 (엔드플레이트),100.0,26850.0,144.1,20900.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
스튜디오미르,애니메이션 제작,100.0,50700.0,160.0,41300.0,111.8,0.0,0.0,0.0,0.0,0.0,0.0
꿈비,"놀이방매트, 유아거실가구 등",100.0,13000.0,160.0,26750.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0
샌즈랩,사이버 위협 인텔리전스(CTI),100.0,24900.0,137.1,16560.0,57.7,0.0,0.0,0.0,0.0,0.0,0.0
제이오,"탄소나노튜브, 금속탱크 및 유사용기",53.1,21500.0,65.4,27450.0,111.2,0.0,0.0,0.0,0.0,0.0,0.0
바이오인프라,"생동성시험, 검체 분석",100.0,29400.0,40.0,24300.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0
나노팀,전기차용 방열제품,100.0,29800.0,129.2,36900.0,183.8,0.0,0.0,0.0,0.0,0.0,0.0
자람테크놀로지,"XGSPON, 기가와이어, 광트랜시버 등",100.0,42700.0,94.1,48300.0,119.5,0.0,0.0,0.0,0.0,0.0,0.0
금양그린파워,"플랜트, 발전소 및 신재생에너지 발전소 공사 및 용역",90.0,16200.0,62.0,22850.0,128.5,0.0,0.0,0.0,0.0,0.0,0.0
LB인베스트먼트,중소기업 창업투자,27.5,8450.0,65.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지아이이노베이션,면역항암제 및 알레르기 치료제,45.8,20250.0,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
마이크로투나노,메모리 테스트용 프로브 카드,62.6,20650.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
